bubble,10,nearly-sorted,5,1591,45,0
bubble,20,nearly-sorted,5,5433,190,11
bubble,40,nearly-sorted,5,21208,780,93
bubble,80,nearly-sorted,5,77949,3160,245
bubble,160,nearly-sorted,5,311999,12720,1177
bubble,320,nearly-sorted,5,460783,51040,5964
bubble,640,nearly-sorted,5,833741,204480,22587
bubble,1280,nearly-sorted,5,1432824,818560,100536
bubble,2560,nearly-sorted,5,3569966,3275520,398281
bubble,5120,nearly-sorted,5,12526858,13104640,1529488
bubble,10240,nearly-sorted,5,48211016,52423680,5944784
bubble,20480,nearly-sorted,5,148134566,209704960,25057106
bubble,40960,nearly-sorted,5,662254016,838840320,98455068
bubble,81920,nearly-sorted,5,2927549125,3355402240,395912761
bubble,10,random,5,2358,45,24
bubble,20,random,5,7641,190,96
bubble,40,random,5,34533,780,399
bubble,80,random,5,111241,3160,1408
bubble,160,random,5,453475,12720,6345
bubble,320,random,5,589416,51040,25274
bubble,640,random,5,1061183,204480,103979
bubble,1280,random,5,1928567,818560,403567
bubble,2560,random,5,4176200,3275520,1628385
bubble,5120,random,5,13979550,13104640,6456418
bubble,10240,random,5,54095083,52423680,25885697
bubble,20480,random,5,225899158,209704960,103987505
bubble,40960,random,5,1644520358,838840320,415545508
bubble,81920,random,5,7268600991,3355402240,1659101637
bubble,10,reverse,5,2658,45,44
bubble,20,reverse,5,9208,190,188
bubble,40,reverse,5,37792,780,773
bubble,80,reverse,5,147208,3160,3153
bubble,160,reverse,5,558683,12720,12702
bubble,320,reverse,5,683124,51040,51005
bubble,640,reverse,5,1103416,204480,204408
bubble,1280,reverse,5,1952466,818560,818407
bubble,2560,reverse,5,5117900,3275520,3275218
bubble,5120,reverse,5,18235208,13104640,13104087
bubble,10240,reverse,5,64575408,52423680,52422536
bubble,20480,reverse,5,260045550,209704960,209702687
bubble,40960,reverse,5,1061285591,838840320,838835763
bubble,81920,reverse,5,3685463008,3355402240,3355393236
bubble,10,sorted,5,1508,45,0
bubble,20,sorted,5,4800,190,0
bubble,40,sorted,5,18050,780,0
bubble,80,sorted,5,75700,3160,0
bubble,160,sorted,5,278741,12720,0
bubble,320,sorted,5,395000,51040,0
bubble,640,sorted,5,752883,204480,0
bubble,1280,sorted,5,1373058,818560,0
bubble,2560,sorted,5,1707666,3275520,0
bubble,5120,sorted,5,4131775,13104640,0
bubble,10240,sorted,5,13880825,52423680,0
bubble,20480,sorted,5,52550975,209704960,0
bubble,40960,sorted,5,207772274,838840320,0
bubble,81920,sorted,5,825259808,3355402240,0
heap,10,nearly-sorted,5,4433,41,30
heap,20,nearly-sorted,5,10674,120,79
heap,40,nearly-sorted,5,21983,321,198
heap,80,nearly-sorted,5,30958,805,474
heap,160,nearly-sorted,5,47333,1938,1110
heap,320,nearly-sorted,5,89316,4515,2541
heap,640,nearly-sorted,5,117583,10369,5751
heap,1280,nearly-sorted,5,217741,23362,12811
heap,2560,nearly-sorted,5,364466,51920,28202
heap,5120,nearly-sorted,5,629308,114257,61615
heap,10240,nearly-sorted,5,1117066,249121,133554
heap,20480,nearly-sorted,5,1826841,539378,287741
heap,40960,nearly-sorted,5,3174908,1161213,616698
heap,81920,nearly-sorted,5,5836424,2487309,1315710
heap,10,random,5,4266,38,28
heap,20,random,5,9766,113,71
heap,40,random,5,24083,305,179
heap,80,random,5,33083,773,443
heap,160,random,5,42116,1848,1027
heap,320,random,5,68875,4363,2386
heap,640,random,5,130800,9964,5379
heap,1280,random,5,214108,22465,12017
heap,2560,random,5,395167,50078,26607
heap,5120,random,5,696000,110187,58227
heap,10240,random,5,1257550,240625,126575
heap,20480,random,5,2030441,521832,273477
heap,40960,random,5,3622683,1124916,587609
heap,81920,random,5,6602766,2410769,1255706
heap,10,reverse,5,3541,35,21
heap,20,reverse,5,8783,105,62
heap,40,reverse,5,21266,277,153
heap,80,reverse,5,34783,709,386
heap,160,reverse,5,39133,1733,924
heap,320,reverse,5,66583,4087,2161
heap,640,reverse,5,126700,9424,4934
heap,1280,reverse,5,199516,21380,11158
heap,2560,reverse,5,364349,48013,24886
heap,5120,reverse,5,611191,106135,54916
heap,10240,reverse,5,1040716,232954,119906
heap,20480,reverse,5,1708583,506655,261258
heap,40960,reverse,5,2956416,1096399,562209
heap,81920,reverse,5,5276166,2353327,1205333
heap,10,sorted,5,4650,41,30
heap,20,sorted,5,11283,121,80
heap,40,sorted,5,26625,321,201
heap,80,sorted,5,37950,812,483
heap,160,sorted,5,48525,1957,1129
heap,320,sorted,5,70750,4575,2589
heap,640,sorted,5,119766,10474,5813
heap,1280,sorted,5,210691,23587,12942
heap,2560,sorted,5,369833,52413,28528
heap,5120,sorted,5,602733,115219,62351
heap,10240,sorted,5,1029783,251136,134926
heap,20480,sorted,5,1698416,543410,290316
heap,40960,sorted,5,3021550,1169036,622181
heap,81920,sorted,5,5276016,2502695,1327687
insertion,10,nearly-sorted,5,925,12,3
insertion,20,nearly-sorted,5,2191,54,36
insertion,40,nearly-sorted,5,4516,135,97
insertion,80,nearly-sorted,5,15075,510,431
insertion,160,nearly-sorted,5,49066,1828,1670
insertion,320,nearly-sorted,5,154700,6137,5819
insertion,640,nearly-sorted,5,378641,24473,23834
insertion,1280,nearly-sorted,5,526908,92368,91090
insertion,2560,nearly-sorted,5,1299683,425009,422450
insertion,5120,nearly-sorted,5,2956558,1516916,1511797
insertion,10240,nearly-sorted,5,4320158,6216491,6206253
insertion,20480,nearly-sorted,5,11067558,24764924,24744445
insertion,40960,nearly-sorted,5,37610525,96767964,96727005
insertion,81920,nearly-sorted,5,156803158,393344880,393262962
insertion,10,random,5,1408,29,22
insertion,20,random,5,3666,109,94
insertion,40,random,5,11608,416,379
insertion,80,random,5,43383,1670,1594
insertion,160,random,5,161883,6494,6339
insertion,320,random,5,368741,24815,24501
insertion,640,random,5,554400,101564,100928
insertion,1280,random,5,2016808,406978,405702
insertion,2560,random,5,2010208,1627341,1624784
insertion,5120,random,5,3870841,6479638,6474523
insertion,10240,random,5,10971233,26043616,26033380
insertion,20480,random,5,39606916,103981779,103961304
insertion,40960,random,5,154108241,414281757,414240801
insertion,81920,random,5,616611741,1661398642,1661316727
insertion,10,reverse,5,1908,44,43
insertion,20,reverse,5,5641,189,187
insertion,40,reverse,5,20733,779,774
insertion,80,reverse,5,81075,3159,3154
insertion,160,reverse,5,312933,12717,12701
insertion,320,reverse,5,429274,51036,51005
insertion,640,reverse,5,794141,204474,204412
insertion,1280,reverse,5,1828741,818549,818424
insertion,2560,reverse,5,2660141,3275492,3275233
insertion,5120,reverse,5,6270375,13104581,13104067
insertion,10240,reverse,5,20726283,52423560,52422518
insertion,20480,reverse,5,78705683,209704751,209702743
insertion,40960,reverse,5,311882899,838839875,838835779
insertion,81920,reverse,5,1246522833,3355401333,3355393164
insertion,10,sorted,5,708,9,0
insertion,20,sorted,5,966,19,0
insertion,40,sorted,5,1633,39,0
insertion,80,sorted,5,3066,79,0
insertion,160,sorted,5,5491,159,0
insertion,320,sorted,5,10483,319,0
insertion,640,sorted,5,20783,639,0
insertion,1280,sorted,5,39908,1279,0
insertion,2560,sorted,5,78941,2559,0
insertion,5120,sorted,5,155216,5119,0
insertion,10240,sorted,5,309491,10239,0
insertion,20480,sorted,5,402566,20479,0
insertion,40960,sorted,5,492799,40959,0
insertion,81920,sorted,5,612566,81919,0
